DROGA ;MARCA ;PRESENTACION;LABORATORIO;COBERTURA;COPAGO
aciclovir;ACERPES;400 mg comp.x 20;Siegfried;60%;$ 6179.57
aciclovir;POVIRAL;400 mg comp.x 40;Roemmers;60%;$ 11281.77
aciclovir;LAFEVIR;500 mg liof.a.x 1;Lafedar;60%;$ 4735.28
aciclovir;ACICLOVIR FILAXIS;800 mg comp.x 20;Filaxis Farmac¿;60%;$ 509.82
aciclovir;LAFEVIR;800 mg comp.x 20;Lafedar;60%;$ 8967.84
aciclovir;POVIRAL;800 mg comp.x 20;Roemmers;60%;$ 9384.08
aciclovir;ACERPES;800 mg comp.x 20;Siegfried;60%;$ 11338.02
aciclovir;LAFEVIR;800 mg comp.x 40;Lafedar;60%;$ 16537.03
aciclovir;POVIRAL;800 mg comp.x 40;Roemmers;60%;$ 17752.08
aciclovir;LISOVYR 800;comp.rec.x 20;Elea;60%;$ 12135.12
aciclovir;LISOVYR 800;comp.rec.x 40;Elea;60%;$ 20720.15
aciclovir;VIROSTATIC 800;comp.x 20;Cassarß;60%;$ 7700
aciclovir;XICLOVIR 800;comp.x 20;Lazar;60%;$ 9425.14
aciclovir;XICLOVIR 800;comp.x 40;Lazar;60%;$ 17866.28
aciclovir;LISOVYR;cáps.x 20;Elea;60%;$ 5996.01
aciclovir;LISOVYR SUSPENSION 8%;fco.x 120 ml;Elea;60%;$ 9372.12
aciclovir+hidrocortisona;LISOVYR CORT;pomo x 5 g;Elea;60%;$ 3706.56
acitretina;NEOTIGASON;10 mg cáps.x 30;Teva Argentina;50%;$ 22178.65
acitretina;NEOTIGASON;25 mg cáps.x 30;Teva Argentina;50%;$ 46712.58
acth;ACTHEL;200 UI iny.gel.f.a.;Filaxis Farmac¿;50%;$ 77685.22
acth;ACTHEL;25 UI f.a+jga.+ag+solv.;Filaxis Farmac¿;50%;$ 38098.45
acth;ACTHEL;40 UI gel f.a.+jga.+ag.;Filaxis Farmac¿;50%;$ 42550.92
adapaleno;EXOGEL;0.1% gel x 30 g (VL);Casasco;50%;$ 12751.92
adapaleno;EXOGEL;0.3% gel x 30 g;Casasco;50%;$ 15472.82
adapaleno;SINAC;0.3% gel x 30 g;Andr¿maco;50%;$ 15965.41
adapaleno;DERMOTOPIC;gel 0.1% x 30 g;Lazar;50%;$ 10893.27
adapaleno;DERMOTOPIC;gel 0.3% x 30 g;Lazar;50%;$ 13288.49
adapaleno+benzoílo,peróxido;DERMOTOPIC DUO;gel x 30 g;Lazar;50%;$ 12897.55
adapaleno+benzoílo,peróxido;EPIDUO;gel x 45 g;Galderma;50%;$ 426.55
agomelatina;VALDOXAN;25 mg comp.x 14;Servier;50%;$ 1247.18
agomelatina;VESTIN;25 mg comp.x 28;Gador;50%;$ 26148.21
agomelatina;VALDOXAN;25 mg comp.x 28;Servier;50%;$ 39133.33
alendronato;OSTEOFENE;70 mg comp.x 4;Rontag;60%;$ 4464.72
alendronato;ALENATO;70 mg comp.x 4;Siegfried;60%;$ 4801.56
alendronato;TILIOS;70 mg comp.x 4;Microsules Arg.;60%;$ 5469.49
alendronato;SILIDRAL 70;70 mg comp.x 4;Ariston;60%;$ 5911.18
alendronato;FINDECLIN;70 mg comp.x 4;Finadiet;60%;$ 6614.4
alendronato;BREK;70 mg comp.x 4;Trb-Pharma;60%;$ 6780
alendronato;REGENESIS;70 mg comp.x 4;Elea;60%;$ 8649.88
alendronato;ARENDAL;70 mg comp.x 4;Teva Argentina;60%;$ 8808.34
alendronato;MARVIL;70 mg comp.x 4;Ariston;60%;$ 8848.1
alendronato;BREK;70 mg comp.x 8;Trb-Pharma;60%;$ 1148
alendronato;TILIOS;70 mg comp.x 8;Microsules Arg.;60%;$ 7717.47
alendronato;ALENATO;70 mg comp.x 8;Siegfried;60%;$ 8664.8
alendronato;FINDECLIN;70 mg comp.x 8;Finadiet;60%;$ 10085.7
alendronato;LENDRONAL;comp.x 4;Lafedar;60%;$ 5467.93
alfatradiol;AVIXIS;sol.tóp.c/aplic.x 200 ml;Galderma;50%;$ 21038.27
alfuzosina,clorh.;UROXATRAL OD;10 mg comp.lib.prol.x 30;Sanofi-Aventis;50%;$ 2695.48
aliskiren;RASILEZ;150 mg comp.rec.x 28;Novartis;50%;$ 445.94
aliskiren;RASILEZ;300 mg comp.rec.x 28;Novartis;50%;$ 445.94
allopurinol;ALLOPURINOL GADOR;100 mg comp.x 30;Gador;60%;$ 1720.36
allopurinol;ALLOPURINOL 100 CRAVERI;100 mg comp.x 30;Craveri;60%;$ 1954.18
allopurinol;ALLOPURINOL GADOR;100 mg comp.x 60;Gador;60%;$ 3091.88
allopurinol;ALLOPURINOL 100 CRAVERI;100 mg comp.x 60;Craveri;60%;$ 3400.84
allopurinol;ALLOPURINOL CRAVERI RETARD;300 mg comp.lib.prol.x20;Craveri;60%;$ 4215.03
allopurinol;ALLOPURINOL CRAVERI RETARD;300 mg comp.lib.prol.x50;Craveri;60%;$ 7634.02
allopurinol;PURITENK;300 mg comp.x 20;Biotenk;60%;$ 2516.98
allopurinol;ALLOPURINOL 300 CRAVERI;300 mg comp.x 20;Craveri;60%;$ 3378.57
allopurinol;ALLOPURINOL GADOR RETARD;300 mg comp.x 30;Gador;60%;$ 701.11
allopurinol;ALLOPURINOL HOUDE;300 mg comp.x 30;Ariston;60%;$ 3065.16
allopurinol;ALLOPURINOL GADOR;300 mg comp.x 30;Gador;60%;$ 4028.09
allopurinol;ALLOPURINOL 300 CRAVERI;300 mg comp.x 30;Craveri;60%;$ 4368.41
allopurinol;ALLOPURINOL 300 CRAVERI;300 mg comp.x 40;Craveri;60%;$ 5371.53
allopurinol;ALLOPURINOL GADOR;300 mg comp.x 60;Gador;60%;$ 6109.36
allopurinol;ALLOPURINOL 300 CRAVERI;300 mg comp.x 60;Craveri;60%;$ 6615.41
allopurinol;ALLOPURINOL FABRA 300;comp.x 20;Fabra;60%;$ 3153.48
allopurinol;COLPURIL A RETARD;cáps.c/microgranulosx 50;Siegfried;60%;$ 6116.55
allopurinol+colchicina;COLPURIL;100 mg comp.rec.x 20;Siegfried;60%;$ 2011.84
allopurinol+colchicina;COLPURIL 300 RETARD;cáps.lib.prol.x 20;Siegfried;60%;$ 6262.2
allopurinol+colchicina;COLPURIL 300 RETARD;cáps.lib.prol.x 50;Siegfried;60%;$ 9097.53
allopurinol+colchicina;ARTREX RETARD;cáps.x 20;Ariston;60%;$ 5838
allopurinol+colchicina;ARTREX RETARD;cáps.x 40;Ariston;60%;$ 8320.59
almidón de maíz modificado;ESPESAN +;lata x 300 g;Nutricia-Bag¿;100%;$ 0
aloe vera;CAPSON AV;100% cr.x 60 g;Pharmatrix;40%;$ 14147.87
aloe vera;CAPSON AV;100% gel x 100 g;Pharmatrix;40%;$ 16488.75
aloe vera;CAPSON AV;100% spray x 30 ml;Pharmatrix;40%;$ 14147.87
alprazolam;PRINOX 0.25 MG;0.25 mg comp.x 30;Eurofarma;50%;$ 69.98
alprazolam;ALPLAX;0.25 mg comp.x 30;Gador;50%;$ 1088.99
alprazolam;PRINOX 0.25 MG;0.25 mg comp.x 50;Eurofarma;50%;$ 126.58
alprazolam;TRANQUINAL;0.25 mg comp.x 50;Bag¿;50%;$ 163.63
alprazolam;ALPLAX;0.25 mg comp.x 60;Gador;50%;$ 2198.46
alprazolam;TENSIUM;0.5 mg comp.ran.x 30;Baliarda;50%;$ 2371.16
alprazolam;TENSIUM;0.5 mg comp.ran.x 60;Baliarda;50%;$ 4181.17
alprazolam;ALPRIM;0.5 mg comp.rec.x 30;Biotechno Pharm;50%;$ 548.42
alprazolam;ALPRIM;0.5 mg comp.rec.x 60;Biotechno Pharm;50%;$ 1092.86
alprazolam;TRANQUINAL 0.5;0.5 mg comp.subl.x 30;Bag¿;50%;$ 4559.51
alprazolam;TRANQUINAL 0.5;0.5 mg comp.x 100;Bag¿;50%;$ 7368.53
alprazolam;BESTROL;0.5 mg comp.x 20;Cetus;50%;$ 2025.71
alprazolam;PTA;0.5 mg comp.x 30;Sidus;50%;$ 181.55
alprazolam;ALPRAZOL;0.5 mg comp.x 30;Casasco;50%;$ 629.48
alprazolam;EMERAL;0.5 mg comp.x 30;Siegfried;50%;$ 2248.24
alprazolam;PRINOX 0.5 MG;0.5 mg comp.x 30;Eurofarma;50%;$ 2256.98
alprazolam;TRANQUINAL 0.5;0.5 mg comp.x 30;Bag¿;50%;$ 2511.02
alprazolam;BESTROL;0.5 mg comp.x 40;Cetus;50%;$ 3408.2
alprazolam;EMERAL;0.5 mg comp.x 50;Siegfried;50%;$ 3248.54
alprazolam;PRINOX 0.5 MG;0.5 mg comp.x 50;Eurofarma;50%;$ 3365.93
alprazolam;TRANQUINAL 0.5;0.5 mg comp.x 50;Bag¿;50%;$ 3629.64
alprazolam;PTA;0.5 mg comp.x 60;Sidus;50%;$ 315.8
alprazolam;ALPRAZOLAM DENVER FARMA;0.5 mg comp.x 60;Denver Farma;50%;$ 3821.34
alprazolam;ALPRAZOL;0.5 mg comp.x 60;Casasco;50%;$ 3930.63
alprazolam;TRANQUINAL 0.5;0.5 mg comp.x 60;Bag¿;50%;$ 4528.99
alprazolam;BESTROL;0.5 mg comp.x 60;Cetus;50%;$ 4630.15
alprazolam;NOVAZOLAM 0.50 MG;0.50 mg comp.ran.x 30;Monserrat;50%;$ 2007.1
alprazolam;NOVAZOLAM 0.50 MG;0.50 mg comp.ran.x 60;Monserrat;50%;$ 3560.09
alprazolam;AMZIAX;0.50 mg comp.x 10;Soubeiran Chobe;50%;$ 1013.19
alprazolam;ROSPAZ;0.50 mg comp.x 30;Rospaw;50%;$ 1912.65
alprazolam;XANAX;0.50 mg comp.x 30;Aspen Pharma;50%;$ 1958.98
alprazolam;AMZIAX;0.50 mg comp.x 30;Soubeiran Chobe;50%;$ 1966.88
alprazolam;ALPRAZOLAM MICROSULES;0.50 mg comp.x 30;Microsules Arg.;50%;$ 2133.01
alprazolam;ALPLAX;0.50 mg comp.x 30;Gador;50%;$ 2286.96
alprazolam;ROSPAZ;0.50 mg comp.x 60;Rospaw;50%;$ 3439.86
alprazolam;AMZIAX;0.50 mg comp.x 60;Soubeiran Chobe;50%;$ 3628.43
alprazolam;XANAX;0.50 mg comp.x 60;Aspen Pharma;50%;$ 3978.37
alprazolam;ALPRAZOLAM MICROSULES;0.50 mg comp.x 60;Microsules Arg.;50%;$ 4013.36
alprazolam;ALPLAX;0.50 mg comp.x 60;Gador;50%;$ 4149.37
alprazolam;ALPLAX XR;0.5mg comp.lib.prol.x 20;Gador;50%;$ 2644.39
alprazolam;ALPLAX XR;1 mg comp.lib.prol.x 20;Gador;50%;$ 2984.4
alprazolam;NOVAZOLAM 1 MG;1 mg comp.ran.x 30;Monserrat;50%;$ 2977.86
alprazolam;TENSIUM;1 mg comp.ran.x 30;Baliarda;50%;$ 3630.66
alprazolam;NOVAZOLAM 1 MG;1 mg comp.ran.x 60;Monserrat;50%;$ 5308.09
alprazolam;TENSIUM;1 mg comp.ran.x 60;Baliarda;50%;$ 6865.67
alprazolam;ALPRIM;1 mg comp.rec.x 30;Biotechno Pharm;50%;$ 923.35
alprazolam;AMZIAX;1 mg comp.x 10;Soubeiran Chobe;50%;$ 1757.49
alprazolam;TRANQUINAL 1;1 mg comp.x 100;Bag¿;50%;$ 11673.61
alprazolam;BESTROL;1 mg comp.x 20;Cetus;50%;$ 3442.15
alprazolam;PTA;1 mg comp.x 30;Sidus;50%;$ 291.26
alprazolam;ALPRAZOL;1 mg comp.x 30;Casasco;50%;$ 571.7
alprazolam;ROSPAZ;1 mg comp.x 30;Rospaw;50%;$ 2852.96
alprazolam;XANAX;1 mg comp.x 30;Aspen Pharma;50%;$ 3018.62
alprazolam;ALPRAZOLAM MICROSULES;1 mg comp.x 30;Microsules Arg.;50%;$ 3298.49
alprazolam;AMZIAX;1 mg comp.x 30;Soubeiran Chobe;50%;$ 3431.03
alprazolam;EMERAL;1 mg comp.x 30;Siegfried;50%;$ 3463.55
alprazolam;PRINOX 1 MG;1 mg comp.x 30;Eurofarma;50%;$ 3517.45
alprazolam;ALPLAX;1 mg comp.x 30;Gador;50%;$ 3587.41
alprazolam;TRANQUINAL 1;1 mg comp.x 30;Bag¿;50%;$ 4195.55
alprazolam;BESTROL;1 mg comp.x 40;Cetus;50%;$ 5515.56
alprazolam;EMERAL;1 mg comp.x 50;Siegfried;50%;$ 5290.5
alprazolam;PRINOX 1 MG;1 mg comp.x 50;Eurofarma;50%;$ 6586.75
alprazolam;TRANQUINAL 1;1 mg comp.x 50;Bag¿;50%;$ 7693.76
alprazolam;PTA;1 mg comp.x 60;Sidus;50%;$ 535.45
alprazolam;ROSPAZ;1 mg comp.x 60;Rospaw;50%;$ 5498.4
alprazolam;XANAX;1 mg comp.x 60;Aspen Pharma;50%;$ 6000.32
alprazolam;ALPRAZOL;1 mg comp.x 60;Casasco;50%;$ 6089.58
alprazolam;ALPRAZOLAM DENVER FARMA;1 mg comp.x 60;Denver Farma;50%;$ 6102.07
alprazolam;ALPRAZOLAM MICROSULES;1 mg comp.x 60;Microsules Arg.;50%;$ 6149.81
alprazolam;AMZIAX;1 mg comp.x 60;Soubeiran Chobe;50%;$ 6496.46
alprazolam;ALPLAX;1 mg comp.x 60;Gador;50%;$ 6625.85
alprazolam;BESTROL;1 mg comp.x 60;Cetus;50%;$ 7699.58
alprazolam;TRANQUINAL 1;1 mg comp.x 60;Bag¿;50%;$ 8205.9
alprazolam;TRANQUINAL;1 mg/ml sol.x 30 ml;Bag¿;50%;$ 294.9
alprazolam;ALPLAX XR;2 mg comp.lib.prol.x 20;Gador;50%;$ 3553.49
alprazolam;NOVAZOLAM 2 MG;2 mg comp.multirran.x 30;Monserrat;50%;$ 4628.22
alprazolam;NOVAZOLAM 2 MG;2 mg comp.multirran.x 60;Monserrat;50%;$ 8156.52
alprazolam;TENSIUM;2 mg comp.ran.x 30;Baliarda;50%;$ 5415.5
alprazolam;ALPRIM;2 mg comp.rec.x 30;Biotechno Pharm;50%;$ 1426.76
alprazolam;ALPRIM;2 mg comp.rec.x 60;Biotechno Pharm;50%;$ 2824.67
alprazolam;TRANQUINAL 2;2 mg comp.x 100;Bag¿;50%;$ 19822.83
alprazolam;ALPRAZOLAM DENVER FARMA;2 mg comp.x 30;Denver Farma;50%;$ 234.91
alprazolam;PTA;2 mg comp.x 30;Sidus;50%;$ 402.49
alprazolam;ROSPAZ;2 mg comp.x 30;Rospaw;50%;$ 4338.17
alprazolam;ALPRAZOLAM MICROSULES;2 mg comp.x 30;Microsules Arg.;50%;$ 5140.04
alprazolam;EMERAL;2 mg comp.x 30;Siegfried;50%;$ 5205.05
alprazolam;PRINOX 2 MG;2 mg comp.x 30;Eurofarma;50%;$ 5271.26
alprazolam;AMZIAX;2 mg comp.x 30;Soubeiran Chobe;50%;$ 5417.77
alprazolam;ALPLAX;2 mg comp.x 30;Gador;50%;$ 5565.64
alprazolam;TRANQUINAL 2;2 mg comp.x 30;Bag¿;50%;$ 6132.01
alprazolam;EMERAL;2 mg comp.x 50;Siegfried;50%;$ 8053.95
alprazolam;PRINOX 2 MG;2 mg comp.x 50;Eurofarma;50%;$ 9631.4
alprazolam;TRANQUINAL 2;2 mg comp.x 50;Bag¿;50%;$ 10711.77
alprazolam;PTA;2 mg comp.x 60;Sidus;50%;$ 686.74
alprazolam;ROSPAZ;2 mg comp.x 60;Rospaw;50%;$ 8540.73
alprazolam;ALPRAZOLAM DENVER FARMA;2 mg comp.x 60;Denver Farma;50%;$ 9583.64
alprazolam;ALPRAZOL;2 mg comp.x 60;Casasco;50%;$ 9825.67
alprazolam;ALPLAX;2 mg comp.x 60;Gador;50%;$ 10823.73
alprazolam;TRANQUINAL 2;2 mg comp.x 60;Bag¿;50%;$ 12123.19
alprazolam+domperidona+asoc.;SIDOMAL;comp.x 30;Sanitas;40%;$ 9070.8
alprazolam+domperidona+asoc.;TENSIUM GASTRIC;comp.x 30;Baliarda;40%;$ 9425.65
alprazolam+domperidona+asoc.;ALPLAX NET;comp.x 30;Gador;40%;$ 9497.1
alprazolam+domperidona+asoc.;ANSIELIX DIGEST;comp.x 30;Craveri;40%;$ 10929.47
alprazolam+sulpirida;ALPLAX DIGEST;caplets x 30;Gador;50%;$ 2988.48
alprazolam+sulpirida;ALPLAX DIGEST;caplets x 60;Gador;50%;$ 5707.01
alprazolam+sulpirida;TRANQUINAL SOMA;comp.x 30;Bag¿;50%;$ 334.1
aluminio,hidr.+magn.hidr.+oxetac;MUCAINE;susp.gel x 150 ml;Lafedar;50%;$ 2635.52
aluminio,hidr.+magn.hidr.+oxetac;MUCAINE;susp.gel x 300 ml;Lafedar;50%;$ 3936.66
aluminio,hidr.+magn.hidr.+simet.;ACI-TIP;comp.mast.x 10;Siegfried;40%;$ 741.65
aluminio,hidr.+magn.hidr.+simet.;ACI-TIP;comp.mast.x 50;Siegfried;40%;$ 3337.43
aluminio,hidr.+magn.hidr.+simet.;FACTOR AG ANTIACIDO;comp.x 30;Casasco;40%;$ 211.21
aluminio,hidr.+magn.hidr.+simet.;MYLANTA II;comp.x 30;Elea;40%;$ 12023.51
aluminio,hidr.+magn.hidr.+simet.;MYLANTA II;comp.x 60;Elea;40%;$ 22379
aluminio,hidr.+magn.hidr.+simet.;MYLANTA PLUS;liq.x 160 ml;Elea;40%;$ 324.92
aluminio,hidr.+magn.hidr.+simet.;MYLANTA II;líq.x 360 ml;Elea;40%;$ 27082.04
aluminio,hidr.+magnesio,hidr.;MYLANTA SIMPLE;líq.x 160 ml;Elea;40%;$ 11301.04
amantadina;VIROSOL;100 mg comp.x 10;Elea;80%;$ 1523.63
amantadina;VIROSOL;100 mg comp.x 30;Elea;80%;$ 4314.35
amantadina;AMPAKINE;100 mg comp.x 30;Rontag;80%;$ 4345.64
amantadina;AMPAKINE;100 mg comp.x 60;Rontag;80%;$ 8319.79
ambroxol;AMBRIL;jbe.x 120 ml;Elea;50%;$ 4091.99
ambroxol+butamirato+clorfeniram.;ASEPTOBRON C PLUS;jbe.x 120 ml;Temis-Lostal¿;50%;$ 13152.89
ambroxol+butamirato+clorfeniram.;MUCO DOSODOS;jbe.x 150 ml;Beta;50%;$ 16149.96
ambroxol+butetamato;BRONQUISEDAN;ad.jbe.x 150 ml;Elea;50%;$ 4349.81
ambroxol+butetamato;PIRITOS FORTE;jbe.x 120 ml;Biosintex Retai;50%;$ 112
ambroxol+butetamato;TOSTOP COMPLEX;jbe.x 120 ml;Savant Consumer;50%;$ 4142.49
ambroxol+clenbuterol;OXIBRON N.F.;comp.x 30;Montpellier;60%;$ 3862.95
ambroxol+clenbuterol;OXIBRON N.F.;gts.x 30 ml;Montpellier;60%;$ 3949.06
ambroxol+paracetamol+asoc.;LETONDAL;comp.x 10;Finadiet;40%;$ 4992.05
amikacina;AMIKACINA RICHET;(como base) 500 mg a.x 1;Richet;60%;$ 7489.42
aminoácidos+vit.b12;POLPER B12;a.beb.x 10;Casasco;40%;$ 13611.85
aminoácidos+vit.b12;POLPER B12;a.beb.x 30;Casasco;40%;$ 34590.47
aminoácidos+vit.b12;TANVIMIL AMINOACIDOS;comp.rec.x 30;Megalabs Argent;40%;$ 5629.4
aminoácidos+vit.b12;POLPER B12 FORTE;comp.x 30;Casasco;40%;$ 37737.55
aminoácidos+vit.b12;POLPER B12 A.F.;sob.x 30;Casasco;40%;$ 20064.04
aminoácidos+vit.b6;PROTEIGENO;comp.x 100;Lafedar;50%;$ 10933.73
aminoácidos+vit.b6;PROTEIGENO;comp.x 20;Lafedar;50%;$ 2672.21
aminoácidos+vit.b6;PROTEIGENO;comp.x 50;Lafedar;50%;$ 5766.15
amiodarona;MIODARONA;200 mg comp.x 20;Lafedar;80%;$ 772.69
amiodarona;MIODARONA;200 mg comp.x 40;Lafedar;80%;$ 1125.21
amiodarona;ATLANSIL;comp.x 20;Roemmers;80%;$ 2867.6
amiodarona;ATLANSIL;comp.x 50;Roemmers;80%;$ 7481.8
amitriptilina;TRYPTALGIN;10 mg comp.rec.x 30;Craveri;50%;$ 4033.93
amitriptilina;FIORDA;25 mg comp.rec.x 14;Lafedar;50%;$ 2214.09
amitriptilina;FIORDA;25 mg comp.rec.x 28;Lafedar;50%;$ 3532.91
amitriptilina;FIORDA;25 mg comp.rec.x 30;Lafedar;50%;$ 4019.25
amitriptilina;TRYPTALGIN;25 mg comp.rec.x 30;Craveri;50%;$ 4770.2
amitriptilina;TRYPTANOL 25;25 mg comp.x 100;Bag¿;50%;$ 14686.93
amitriptilina;TRYPTANOL 25;25 mg comp.x 30;Bag¿;50%;$ 4592.14
amitriptilina;AMIPTRIL;25 mg comp.x 30;Rospaw;50%;$ 6338.58
amitriptilina;TRYPTALGIN;75 mg comp.rec.x 30;Craveri;50%;$ 9635.33
amitriptilina;AMIPTRIL;75 mg comp.x 30;Rospaw;50%;$ 9418.71
amitriptilina;TRYPTANOL 75;75 mg comp.x 30;Bag¿;50%;$ 10119.07
amlodipina;CARDIOREX CDO;10 mg comp.desin.oralx30;Bag¿;60%;$ 552.72
amlodipina;CARDIVAS;10 mg comp.ran.x 30;Sidus;60%;$ 6711.02
amlodipina;ILDUC;10 mg comp.ran.x 30;Baliarda;60%;$ 10279.31
amlodipina;AMLOPAW;10 mg comp.x 10;Rospaw;60%;$ 2943.38
amlodipina;AMZE;10 mg comp.x 28;Richmond;60%;$ 8519.82
amlodipina;AMLODINE;10 mg comp.x 30;Eurofarma;60%;$ 856.47
amlodipina;AMLODIPINA DENVER FARMA;10 mg comp.x 30;Denver Farma;60%;$ 1058.72
amlodipina;OTERAMINA;10 mg comp.x 30;Savant Generic;60%;$ 4019.26
amlodipina;HIPERTENSAL;10 mg comp.x 30;Finadiet;60%;$ 5625.12
amlodipina;INDALTEN;10 mg comp.x 30;Montpellier;60%;$ 6126.76
amlodipina;ZUNDIC;10 mg comp.x 30;Nolter;60%;$ 6294.49
amlodipina;AMLOC ODT;10 mg comp.x 30;Aspen Pharma;60%;$ 6674.43
amlodipina;AMLOTENS;10 mg comp.x 30;Klonal;60%;$ 6870.6
amlodipina;MITOKOR;10 mg comp.x 30;Biotenk;60%;$ 7508.92
amlodipina;BRANCILINA;10 mg comp.x 30;Fecofar;60%;$ 8027.13
amlodipina;AMLODIPINA RICHET;10 mg comp.x 30;Richet;60%;$ 8124.28
amlodipina;AMLODIPINA VANNIER;10 mg comp.x 30;Vannier;60%;$ 8595.55
amlodipina;ANEXA;10 mg comp.x 30;Microsules Arg.;60%;$ 8684.2
amlodipina;COROVAL 10;10 mg comp.x 30;Roemmers;60%;$ 8762.04
amlodipina;AMLOPAW;10 mg comp.x 30;Rospaw;60%;$ 8792.23
amlodipina;CALPRES;10 mg comp.x 30;Temis-Lostal¿;60%;$ 9041.83
amlodipina;TERVALON;10 mg comp.x 30;Lazar;60%;$ 9994.49
amlodipina;ARTERIOSAN;10 mg comp.x 30;Laboratorios Be;60%;$ 10169.25
amlodipina;PELMEC;10 mg comp.x 30;Casasco;60%;$ 10833.55
amlodipina;TERLOC;10 mg comp.x 30;Siegfried;60%;$ 11499.98
amlodipina;ANGIOFILINA;10 mg comp.x 30;Fabra;60%;$ 11524.12
amlodipina;CARDIOREX 10;10 mg comp.x 30;Bag¿;60%;$ 13423.45
